,0,1
44,hfm=1.5_bcm=8.0_bksm=0.45_lscm=1.0_clem=2.25_pft=0.5_kde=25.0_characters.txt,234
97,hfm=1.5_bcm=12.0_bksm=0.3_lscm=0.75_clem=1.5_pft=0.5_kde=25.0_characters.txt,234
190,hfm=1.5_bcm=8.0_bksm=0.45_lscm=1.0_clem=2.25_pft=0.3_kde=25.0_characters.txt,235
105,hfm=1.5_bcm=12.0_bksm=0.2_lscm=0.75_clem=2.25_pft=0.3_kde=25.0_characters.txt,235
144,hfm=1.5_bcm=12.0_bksm=0.45_lscm=0.75_clem=1.5_pft=0.8_kde=25.0_characters.txt,236
167,hfm=1.5_bcm=12.0_bksm=0.45_lscm=0.75_clem=1.5_pft=0.3_kde=25.0_characters.txt,236
90,hfm=1.5_bcm=12.0_bksm=0.3_lscm=0.75_clem=2.25_pft=0.8_kde=25.0_characters.txt,236
149,hfm=1.5_bcm=12.0_bksm=0.3_lscm=0.75_clem=2.25_pft=0.5_kde=25.0_characters.txt,236
85,hfm=1.5_bcm=12.0_bksm=0.45_lscm=0.75_clem=1.5_pft=0.5_kde=25.0_characters.txt,237
111,hfm=1.5_bcm=18.0_bksm=0.3_lscm=0.75_clem=1.0_pft=0.3_kde=25.0_characters.txt,237
121,hfm=1.5_bcm=12.0_bksm=0.3_lscm=0.75_clem=2.25_pft=0.3_kde=25.0_characters.txt,237
46,hfm=1.5_bcm=12.0_bksm=0.45_lscm=0.6_clem=2.25_pft=0.8_kde=25.0_characters.txt,240
226,hfm=1.5_bcm=12.0_bksm=0.45_lscm=0.6_clem=2.25_pft=0.5_kde=25.0_characters.txt,240
8,hfm=1.5_bcm=12.0_bksm=0.45_lscm=0.6_clem=2.25_pft=0.3_kde=25.0_characters.txt,240
24,hfm=1.5_bcm=18.0_bksm=0.45_lscm=0.75_clem=1.0_pft=0.3_kde=25.0_characters.txt,241
61,hfm=1.5_bcm=18.0_bksm=0.2_lscm=0.6_clem=1.5_pft=0.3_kde=25.0_characters.txt,242
207,hfm=1.5_bcm=18.0_bksm=0.2_lscm=0.6_clem=1.5_pft=0.5_kde=25.0_characters.txt,242
27,hfm=1.5_bcm=18.0_bksm=0.2_lscm=0.6_clem=1.5_pft=0.8_kde=25.0_characters.txt,242
152,hfm=1.5_bcm=18.0_bksm=0.3_lscm=1.0_clem=1.0_pft=0.8_kde=25.0_characters.txt,242
